id,uid,user_id,group,quota,active
397,0009082020,483,biru,1,True
398,0009086060,477,biru,1,True
399,0009086311,476,biru,1,True
400,0009086810,478,biru,1,True
401,0009087548,527,biru,1,True
402,0009087788,526,biru,1,True
403,0009087835,113,hitam,1,True
404,0009090274,236,biru,1,True
405,0009090887,470,biru,1,True
406,0009091316,181,merah,1,True
407,0009656131,26,hitam,1,True
408,0009663058,34,hitam,1,True
409,0009663059,3,merah,1,True
410,0009663472,337,biru,1,True
411,0009663968,339,biru,1,True
412,0009664541,53,hitam,1,True
413,0009664546,73,biru,1,True
414,0009665052,334,biru,1,True
415,0009665054,338,biru,1,True
416,0009667507,335,biru,1,True
417,0009670097,200,biru,1,True
418,0009670126,84,merah,1,True
419,0009670129,305,merah,1,True
420,0009670131,49,merah,1,True
421,0009670133,5,merah,1,True
422,0009671541,368,biru,1,True
423,0009685077,373,biru,1,True
424,0009685388,371,biru,1,True
425,0009687172,42,merah,1,True
426,0009689815,90,merah,1,True
427,0009690777,91,merah,1,True
428,0009690847,29,merah,1,True
429,0009691492,341,biru,1,True
430,0009691524,344,biru,1,True
431,0009691525,345,biru,1,True
432,0009702432,89,biru,1,True
433,0009702443,367,merah,1,True
434,0009702445,55,merah,1,True
435,0009705313,295,biru,1,True
436,0009705806,349,biru,1,True
437,0009711391,332,biru,1,True
438,0009711396,317,biru,1,True
439,0009716911,261,biru,1,True
440,0009717347,46,merah,1,True
441,0010634034,62,merah,1,True
442,0011521617,120,merah,1,True
443,0011744947,775,biru,1,True
444,0011889033,462,biru,1,True
445,0011894768,231,biru,1,True
446,0011894772,228,biru,1,True
447,0011894773,211,biru,1,True
448,0011894779,219,biru,1,True
449,0011895158,128,merah,1,True
450,0011895159,310,biru,1,True
451,0011895160,253,biru,1,True
452,0011897094,243,biru,1,True
453,0011910846,468,biru,1,True
454,0011944087,297,merah,1,True
455,0011944101,342,biru,1,True
456,0011968681,347,biru,1,True
457,0012455386,312,biru,1,True
458,0012455645,288,biru,1,True
459,0012513350,279,biru,1,True
460,0012513619,217,biru,1,True
461,0012538348,35,merah,1,True
462,0012538371,14,merah,1,True
463,0012551766,69,merah,1,True
464,0012551773,385,biru,1,True
465,0012552090,388,biru,1,True
466,0012552093,351,biru,1,True
467,0012555399,391,biru,1,True
468,0012555400,404,biru,1,True
469,0012555419,389,biru,1,True
470,0012555435,390,biru,1,True
471,0012555444,301,biru,1,True
472,0012555460,387,biru,1,True
473,0012555465,406,biru,1,True
474,0012555490,316,biru,1,True
475,0012555504,179,biru,1,True
476,0012555628,380,biru,1,True
477,0012555713,381,biru,1,True
478,0012555720,382,biru,1,True
479,0012555773,399,biru,1,True
480,0012556562,400,biru,1,True
481,0012556623,397,biru,1,True
482,0012556653,396,biru,1,True
483,0012579439,52,hitam,1,True
484,0012583905,379,biru,1,True
485,0012585815,77,merah,1,True
486,0012597435,384,biru,1,True
487,0012597450,386,biru,1,True
488,0012598174,70,merah,1,True
489,0012605049,392,biru,1,True
490,0012607673,401,biru,1,True
491,0012607733,394,biru,1,True
492,0012607778,405,biru,1,True
493,0012607795,393,biru,1,True
494,0012607809,250,biru,1,True
495,0012609929,314,biru,1,True
496,0012613316,512,merah,1,True
497,0012613331,57,merah,1,True
498,0012613347,398,biru,1,True
499,0012617432,277,biru,1,True
500,0012617481,61,hitam,1,True
501,0012666511,302,biru,1,True
502,0012666822,202,biru,1,True
503,0012667136,239,biru,1,True
504,0012687722,265,biru,1,True
505,0012701740,303,biru,1,True
506,0012702830,218,biru,1,True
507,0012815195,315,biru,1,True
508,0012816137,65,biru,1,True
509,0012816812,7,merah,1,True
510,0012818707,272,biru,1,True
511,0012819327,223,biru,1,True
512,0012824308,290,biru,1,True
513,0012826712,204,biru,1,True
514,0012826971,233,biru,1,True
515,0012827493,287,biru,1,True
516,0012827734,10,biru,1,True
517,0012835645,276,biru,1,True
518,0012836225,289,biru,1,True
519,0012837101,235,biru,1,True
520,0012839407,286,biru,1,True
521,0012839435,307,biru,1,True
522,0012840325,9,biru,1,True
523,0012840621,291,biru,1,True
524,0012841183,247,biru,1,True
525,0012841703,292,biru,1,True
526,0012842247,245,biru,1,True
527,0012842924,313,biru,1,True
528,0012843121,251,biru,1,True
529,0012843224,281,biru,1,True
530,0012845918,224,biru,1,True
531,0012847969,264,biru,1,True
532,0012851160,8,biru,1,True
533,0012853389,237,biru,1,True
534,0012854183,255,biru,1,True
535,0012854495,229,biru,1,True
536,0012855700,226,biru,1,True
537,0012856324,258,biru,1,True
538,0012857572,257,biru,1,True
539,0012857884,285,biru,1,True
540,0012868311,263,biru,1,True
541,0012871643,207,biru,1,True
542,0012875090,210,biru,1,True
543,0012875687,64,merah,1,True
544,0012876286,283,biru,1,True
545,0012878361,24,merah,1,True
546,0012893398,238,biru,1,True
547,0012896941,241,biru,1,True
548,0012900875,222,biru,1,True
549,0012902048,298,biru,1,True
550,0012957211,127,merah,1,True
551,0013100516,262,biru,1,True
552,0013104556,143,biru,1,True
553,0013120771,311,biru,1,True
554,0013128178,268,biru,1,True
555,0013137499,745,biru,1,True
556,0013138705,63,merah,1,True
557,0013155219,748,biru,1,True
558,0013173900,741,merah,1,True
